id,word,pos,cefr
271,baggage,n.,B1
272,bake,v.,A2
273,balance,n.; v.,B2
274,ball,n.,A1
275,ban,v.; n.,B2
276,band,n.,A1
277,bandage,n.; v.,B1
278,bank,n.,A1
279,bar,n.,A1
280,bargain,n.,B2
281,barrier,n.,B2
282,base,n.; v.,B2
283,based on,,B1
284,basic,adj.,B1
285,basically,adv.,B2
286,basis,n.,B2
287,bath,n.,A1
288,bathroom,n.,A1
289,battery,n.,A2
290,battle,n.,B1
291,bay,n.,B1
292,"be, auxiliary",v.; v.,A1
293,be called,,A1
294,be going to,,A2
295,be sick,,B1
296,beach,n.,A1
297,beak,n.,C1
298,bear,v.,B2
299,beard,n.,A1
300,beat,n.; v.,B1
301,beautiful,adj.,A1
302,beautifully,adv.,B1
303,beauty,n.,B1
304,because,conj.,A1
305,because of,prep.,B1
306,become,v.,A2
307,bed,n.,A1
308,bedroom,n.,A1
309,beef,n.,B1
310,beer,n.,A1
311,before,prep.; conj.; adv.,A1
312,begin,v.,A1
313,beginning,n.,A2
314,"behalf: on behalf of sb, on sb’s behalf",n.,B2
315,behave,v.,B1
316,behaviour,n.,B1
317,behind,prep.; adv.,A1
318,belief,n.,B2
319,believe,v.,A2
320,bell,n.,B1
321,belong,v.,B2
322,below,prep.; adv.,A1
323,belt,n.,A2
324,bend,v.; n.,B2
325,beneath,prep.; adv.,B2
326,benefit,n.; v.,B1
327,bent,adj.,B2
328,beside,prep.,A2
329,bet,v.; n.,C1
330,"better, best, good, well",,A1
331,betting,n.,C2
332,between,prep.; adv.,A1
333,beyond,prep.; adv.,B2
334,bicycle,n.,A2
335,bid,v.; n.,C1
336,big,adj.,A1
337,bill,n.,A2
338,bin,n.,B1
339,biology,n.,A2
340,bird,n.,A1
341,birth,n.,B1
342,birthday,n.,A1
343,biscuit,n.,A1
344,bit,n.,A2
345,bite,v.; n.,B1
346,bitter,adj.,B1
347,bitterly,adv.,B1
348,black,adj.; n.,A1
349,blade,n.,B2
350,blame,v.; n.,B1
351,blank,adj.; n.,B1
352,blankly,adv.,B1
353,blind,adj.,B1
354,block,n.; v.,B1
355,"blonde,, blond",adj.; n.; adj.,A2
356,blood,n.,A2
357,blow,v.; n.,B1
358,blue,adj.; n.,A1
359,board,n.; v.,A1
360,boat,n.,A1
361,body,n.,A1
362,boil,v.,A2
363,bomb,n.; v.,B1
364,bone,n.,B1
365,book,n.; v.,A1
366,boot,n.,A2
367,border,n.,B1
368,bore,v.,B2
369,bored,adj.,A1
370,boring,adj.,A1
371,born: be born,v.,A2
372,borrow,v.,A2
373,boss,n.,A2
374,both,det.; pron.,A1
375,bother,v.,A2
376,bottle,n.,A2
377,bottom,n.; adj.,A1
378,bound: bound to,adj.,B2
379,bowl,n.,A2
380,box,n.,A1
381,boy,n.,A1
382,boyfriend,n.,A2
383,brain,n.,A2
384,branch,n.,B1
385,brand,n.,B2
386,brave,adj.,B1
387,bread,n.,A1
388,break,v.; n.,A2
389,breakfast,n.,A1
390,breast,n.,B1
391,breath,n.,B1
392,breathe,v.,B1
393,breathing,n.,B1
394,breed,v.; n.,B2
395,brick,n.,B2
396,bridge,n.,A2
397,brief,adj.,B1
398,briefly,adv.,B1
399,bright,adj.,A2
400,brightly,adv.,B2
401,brilliant,adj.,A2
402,bring,v.,A2
403,broad,adj.,B1
404,broadcast,v.; n.,B2
405,broadly,adv.,C1
406,broken,adj.,A2
407,"broken, break",,A2
408,brother,n.,A1
409,brown,adj.; n.,A1
410,brush,n.; v.,A2
411,bubble,n.,C1
412,budget,n.,B2
413,build,v.,A2
414,building,n.,A2
415,bullet,n.,B2
416,bunch,n.,B1
417,burn,v.,B1
418,burnt,adj.,B2
419,burst,v.,B2
420,bury,v.,B1
421,bus,n.,A1
422,bush,n.,B2
423,business,n.,A1
424,"businessman, businesswoman",n.,A2
425,busy,adj.,A2
426,but,conj.,A1
427,butter,n.,A1
428,button,n.,B1
429,buy,v.,A1
430,buyer,n.,B1
431,by,prep.; adv.,A2
432,by accident,,B1
433,by means of,,C1
434,bye,exclamation,A1
435,c,abbr. cent,A2
436,cabinet,n.,B2
437,cable,n.,B1
438,cake,n.,A1
439,calculate,v.,B2
440,calculation,n.,B2
441,call,v.; n.,A2
442,calm,adj.; v.; n.,B1
443,calmly,adv.,B2
444,camera,n.,A1
445,camp,n.; v.,B1
446,campaign,n.,C1
447,camping,n.,A2
448,can,modal; v.; n.,A1
449,cancel,v.,B1
450,cancer,n.,B1
451,candidate,n.,B1
452,candy,n.,A2
453,cannot,,A1
454,cap,n.,A2
455,capable,adj.,B2
456,capacity,n.,B2
457,capital,n.; adj.,A2
458,captain,n.,B1
459,capture,v.; n.,B2
460,car,n.,A1
461,card,n.,A2
462,cardboard,n.,B2
463,care,n.; v.,B1
464,care for,,B2
465,career,n.,B1
466,careful,adj.,A2
467,carefully,adv.,A2
468,careless,adj.,B1
469,carelessly,adv.,B2
470,carpet,n.,A2
471,carrot,n.,A2
472,carry,v.,A1
473,case,n.,A2
474,cash,n.,A2
475,cast,v.; n.,B2
476,castle,n.,A2
477,cat,n.,A1
478,catch,v.,A1
479,category,n.,B2
480,cause,n.; v.,B2
481,CD,n.,A1
482,cease,v.,B2
483,ceiling,n.,A2
484,celebrate,v.,B1
485,celebration,n.,B1
486,cell,n.,B2
487,cellphone,n.,A1
488,cent,"n.; abbr. c, ct",A2
489,centimetre,n.; abbr. cm,A2
490,central,adj.,B1
491,centre,n.,A2
492,century,n.,A2
493,ceremony,n.,B1
494,certain,adj.; pron.,B1
495,certainly,adv.,A2
496,certificate,n.,B1
497,chain,n.; v.,A2
498,chair,n.,A1
499,"chairman, chairwoman",n.,B2
500,challenge,n.; v.,B1
501,chamber,n.,B2
502,chance,n.,B1
503,change,v.; n.,A1
504,channel,n.,A2
505,chapter,n.,B1
506,character,n.,B1
507,characteristic,adj.; n.,B2
508,charge,n.; v.,B1
509,charity,n.,B1
510,chart,n.; v.,B2
511,chase,v.; n.,B2
512,chat,v.; n.,A2
513,cheap,adj.,A1
514,cheaply,adv.,A2
515,cheat,v.; n.,B2
516,check,v.; n.,A2
517,cheek,n.,B1
518,cheerful,adj.,B1
519,cheerfully,adv.,B2
520,cheese,n.,A1
521,chemical,adj.; n.,B2
522,chemist,n.,A2
523,chemist’s,n.,A2
524,chemistry,n.,A2
525,cheque,n.,A2
526,chest,n.,B2
527,chew,v.,B2
528,chicken,n.,A2
529,chief,adj.; n.,B2
530,child,n.,A1
531,chin,n.,B1
532,chip,n.,A1
533,chocolate,n.,A1
534,choice,n.,B1
535,choose,v.,A1
536,chop,v.,B2
537,church,n.,A2
538,cigarette,n.,A2
539,cinema,n.,A1
540,circle,n.; v.,A2
541,circumstance,n.,B2
542,citizen,n.,B2
543,city,n.,A1
544,civil,adj.,C1
545,claim,v.; n.,B2
546,clap,v.; n.,B1
547,class,n.,A1
548,classic,adj.; n.,B2
549,classroom,n.,A1
550,clean,adj.; v.,A1
551,clear,adj.; v.,A2
552,clearly,adv.,A2
553,clerk,n.,B1
554,clever,adj.,A1
555,click,v.; n.,A2
556,client,n.,B2
557,climate,n.,B1
558,climb,v.,A2
559,climbing,n.,A2
560,clock,n.,A1
561,close,adj.,A1
562,close,v.,A1
563,closed,adj.,A1
564,closely,adv.,B2
565,closet,n.,A2
566,cloth,n.,B2
567,clothes,n.,A1
568,clothing,n.,B2
569,cloud,n.,A2
570,club,n.,A2
571,cm,abbr. centimeter,A2
572,coach,n.,A2
573,coal,n.,C1
574,coast,n.,B1
575,coat,n.,A1
576,code,n.,B2
577,coffee,n.,A1
578,coin,n.,B1
579,cold,adj.; n.,A1
580,coldly,adv.,A2
581,collapse,v.; n.,B2
582,colleague,n.,A2
583,collect,v.,A2
584,collection,n.,B1
585,college,n.,A2
586,colour,n.; v.,A1
587,coloured,adj.,A2
588,column,n.,B2
589,combination,n.,B2
590,combine,v.,B2
591,come,v.,A1
592,comedy,n.,B1
593,comfort,n.; v.,B2
594,comfortable,adj.,A2
595,comfortably,adv.,B2
596,command,v.; n.,B2
597,comment,n.; v.,B1
598,commercial,adj.; n.,B2
599,commission,n.; v.,B2
600,commit,v.,B2
601,commitment,n.,B2
602,committee,n.,B2
603,common,adj.,B1
604,commonly,adv.,C1
605,communicate,v.,B1
606,communication,n.,B1
607,community,n.,B2
608,company,n.,A2
609,compare,v.,B1
610,comparison,n.,B2
611,compete,v.,B1
612,competition,n.,A2
613,competitive,adj.,B2
614,complain,v.,B1
615,complaint,n.,B1
616,complete,adj.; v.,A2
617,completely,adv.,B1
618,complex,adj.,B2
619,complicate,v.,C1
620,complicated,adj.,B1
621,computer,n.,A1
622,concentrate,v.,B1
623,concentration,n.,B2
624,concept,n.,B2
625,concern,v.; n.,B2
626,concerned,adj.,B2
627,concerning,prep.,B2
628,concert,n.,A2
629,conclude,v.,C1
630,conclusion,n.,B1
631,concrete,adj.; n.,B2
632,condition,n.,B1
633,conduct,v.; n.,B2
634,conference,n.,B1
635,confidence,n.,B2
636,confident,adj.,B1
637,confidently,adv.,B2
638,confine,v.,C2
639,confined,adj.,C2
640,confirm,v.,B1
641,conflict,n.; v.,B2
642,confront,v.,C2
643,confuse,v.,B2
644,confused,adj.,B1
645,confusing,adj.,B1
646,confusion,n.,B2
647,congratulations,n.,A2
648,congress,n.,B2
649,connect,v.,B1
650,connection,n.,B1
651,conscious,adj.,B2
652,consequence,n.,B2
653,conservative,adj.,C1
654,consider,v.,B1
655,considerable,adj.,B1
656,considerably,adv.,B2
657,consideration,n.,B2
658,consist of,v.,B1
659,constant,adj.,B2
660,constantly,adv.,B2
661,construct,v.,B2
662,construction,n.,B2
663,consult,v.,C1
664,consumer,n.,B2
665,contact,n.; v.,A2
666,contain,v.,B1
667,container,n.,B2
668,contemporary,adj.,B2
669,content,n.,B2
670,contest,n.,B1
671,context,n.,B2
672,continent,n.,B1
673,continue,v.,B1
674,continuous,adj.,B2
675,continuously,adv.,B2
676,contract,n.; v.,B1
677,contrast,n.; v.,B2
678,contrasting,adj.,B2
679,contribute,v.,B2
680,contribution,n.,B2
681,control,n.; v.,B1
682,controlled,adj.,B2
683,convenient,adj.,B1
684,convention,n.,C1
685,conventional,adj.,B2
686,conversation,n.,A1
687,convert,v.,B2
688,convince,v.,B1
689,cook,v.; n.,A1
690,cooker,n.,A2
691,cookie,n.,C2
692,cooking,n.,A2
693,cool,adj.; v.,A2
694,cope,v.,B2
695,copy,n.; v.,A2
696,core,n.,C2
697,corner,n.,A2
698,correct,adj.; v.,A2
699,correctly,adv.,B1
700,cost,n.; v.,A2
701,cottage,n.,B1
702,cotton,n.,B1
703,cough,v.; n.,B1
704,coughing,n.,B1
705,could,modal; v.,A2
706,council,n.,B2
707,count,v.,B1
708,counter,n.,B2
709,country,n.,A1
710,countryside,n.,A2
711,county,n.,B2
712,couple,n.,B1
713,courage,n.,B2
714,course,n.,A1
715,court,n.,B1
716,cousin,n.,A2
717,cover,v.; n.,A2
718,covered,adj.,A2
719,covering,n.,A2
720,cow,n.,A1
721,crack,n.; v.,B2
722,cracked,adj.,B2
723,craft,n.,B2
724,crash,n.; v.,B1
725,crazy,adj.,A2
726,cream,n.; adj.,A2
727,create,v.,B1
728,creature,n.,B1
729,credit,n.; v.,B1
730,credit card,n.,A1
731,crime,n.,B1
732,criminal,adj.; n.,B1
733,crisis,n.,B2
734,crisp,adj.,C2
735,criterion,n.,C1
736,critical,adj.,B2
737,criticism,n.,B2
738,criticize,v.,B2
739,crop,n.,B1
740,cross,n.; v.,A2
741,crowd,n.,A2
742,crowded,adj.,A2
743,crown,n.,B1
744,crucial,adj.,B2
745,cruel,adj.,B1
746,crush,v.,C2
747,cry,v.; n.,A2
748,ct,abbr. cent,A2
749,cultural,adj.,B1
750,culture,n.,B1
751,cup,n.,A1
752,cupboard,n.,A2
753,curb,v.,C2
754,cure,v.; n.,B2
755,curious,adj.,B1
756,curiously,adv.,B1
757,curl,v.; n.,B1
758,curly,adj.,B1
759,current,adj.; n.,B2
760,currently,adv.,B2
761,curtain,n.,A2
762,curve,n.; v.,B2
763,curved,adj.,B2
764,custom,n.,B1
765,customer,n.,A2
766,customs,n.,B1
767,cut,v.; n.,A2
768,cycle,n.; v.,B1
769,cycling,n.,A2
770,dad,n.,A1
771,daily,adj.,A2
772,damage,n.; v.,B1
773,damp,adj.,B2
774,dance,n.; v.,A1
775,dancer,n.,A2
776,dancing,n.,A1
777,danger,n.,A2
778,dangerous,adj.,A2
779,dare,v.,B2
780,dark,adj.; n.,A1
781,data,n.,B2
782,date,n.; v.,A1
783,daughter,n.,A1
784,day,n.,A1
785,dead,adj.,A2
786,deaf,adj.,B1
787,deal,v.; n.,B2
788,deal with,,B1
789,dear,adj.,A1
790,death,n.,B1
791,debate,n.; v.,B2
792,debt,n.,B2
793,decade,n.,B2
794,decay,n.; v.,B2
795,December,n.; abbr. Dec.,A1
796,decide,v.,A2
797,decision,n.,B1
798,declare,v.,B1
799,decline,n.; v.,B2
800,decorate,v.,B1
801,decoration,n.,B2
802,decorative,adj.,B2
803,decrease,v.; n.,B1
804,deep,adj.; adv.,A2
805,deeply,adv.,B2
806,defeat,v.; n.,B1
807,defence,n.,B1
808,defend,v.,B1
809,define,v.,B2
810,definite,adj.,B2
811,definitely,adv.,B1
812,definition,n.,B2
813,degree,n.,A2
814,delay,n.; v.,A2
815,deliberate,adj.,B2
816,deliberately,adv.,B2
817,delicate,adj.,B2
818,delight,n.; v.,B2
819,delighted,adj.,B1
820,deliver,v.,B1
821,delivery,n.,B1
822,demand,n.; v.,B1
823,demonstrate,v.,B2
824,dentist,n.,A2
825,deny,v.,B2
826,department,n.,A2
827,departure,n.,B1
828,depend,v.,B1
829,deposit,n.; v.,B1
830,depress,v.,B2
831,depressed,adj.,B1
832,depressing,adj.,B2
833,depth,n.,B1
834,derive,v.,C1
835,describe,v.,A2
836,description,n.,B1
837,desert,n.; v.,A2
838,deserted,adj.,C1
839,deserve,v.,B1
840,design,n.; v.,B1
841,desire,n.; v.,B2
842,desk,n.,A1
843,desperate,adj.,B2
844,desperately,adv.,B2
845,despite,prep.,B1
846,destroy,v.,B1
847,destruction,n.,B2
848,detail,n.,A2
849,detailed,adj.,B2
850,determination,n.,B2
851,determine,v.,C1
852,determined,adj.,B2
853,develop,v.,B1
854,development,n.,B1
855,device,n.,B2
856,devote,v.,B2
857,devoted,adj.,B2
858,diagram,n.,B1
859,diamond,n.,B2
860,diary,n.,A2
861,dictionary,n.,A1
862,die,v.,A1
863,diet,n.,B1
864,difference,n.,A2
865,different,adj.,A1
866,differently,adv.,B1
867,difficult,adj.,A1
868,difficulty,n.,B1
869,dig,v.,B1
870,dinner,n.,A1
871,direct,adj.; v.,B1
872,direction,n.,B1
873,directly,adv.,B1
874,director,n.,B1
875,dirt,n.,B1
876,dirty,adj.,A2
877,disabled,adj.,B1
878,disadvantage,n.,B1
879,disagree,v.,B1
880,disagreement,n.,B2
881,disappear,v.,B1
882,disappoint,v.,B1
883,disappointed,adj.,B1
884,disappointing,adj.,B1
885,disappointment,n.,B1
886,disapproval,n.,C1
887,disapprove,v.,B2
888,disapproving,adj.,B2
889,disaster,n.,B2
890,disc,n.,B1
891,discipline,n.,B2
892,discount,n.,A2
893,discover,v.,B1
894,discovery,n.,B2
895,discuss,v.,A2
896,discussion,n.,B1
897,disease,n.,B1
898,disgust,v.; n.,C2
899,disgusted,adj.,C1
900,disgusting,adj.,B1
901,dish,n.,A2
902,dishonest,adj.,B2
903,dishonestly,adv.,C1
904,disk,n.,B1
905,dislike,v.; n.,B1
906,dismiss,v.,C1
907,display,v.; n.,B1
908,dissolve,v.,C1
909,distance,n.,B1
910,distinguish,v.,B2
911,distribute,v.,B2
912,distribution,n.,C1
913,district,n.,B1
914,disturb,v.,B2
915,disturbing,adj.,C2
916,divide,v.,B1
917,division,n.,B2
918,divorce,n.; v.,B1
919,divorced,adj.,B1
920,"do, auxiliary",v.; v.,A1
921,doctor,"n.; abbr. Dr, NAmE Dr.",A1
922,document,n.,A2
923,dog,n.,A1
924,dollar,n.,A1
925,domestic,adj.,B2
926,dominate,v.,B2
927,door,n.,A1
928,dot,n.,B1
929,double,adj.; det.; adv.; n.; v.,A2
930,doubt,n.; v.,B1
931,down,adv.; prep.,A1
932,downstairs,adv.; adj.; n.,A2
933,downward,adj.,C1
934,downwards,adv.,C1
935,dozen,n.; det.,B1
936,Dr,abbr. doctor,A2
937,draft,n.; adj.; v.,B2
938,drag,v.,B1
939,drama,n.,B1
940,dramatic,adj.,B2
941,dramatically,adv.,B2
942,draw,v.,A1
943,drawer,n.,A2
944,drawing,n.,A2
945,dream,n.; v.,A2
946,dress,n.; v.,A1
947,dressed,adj.,A2
948,drink,n.; v.,A1
949,drive,v.; n.,A1
950,driver,n.,A1
951,driving,n.,A1
952,drop,v.; n.,B1
953,drug,n.,B2
954,drugstore,n.,B1
955,drum,n.,A2
956,drunk,adj.,B2
957,dry,adj.; v.,A2
958,due,adj.,B1
959,due to,,B1
960,dull,adj.,B1
961,dump,v.; n.,C1
962,during,prep.,A2
963,dust,n.; v.,B1
964,duty,n.,B1
965,DVD,n.,A1
966,dying,adj.,A2
967,e.g.,abbr.,B2
968,each,det.; pron.,A1
969,each other,pron.,A2
970,ear,n.,A1
971,early,adj.; adv.,A1
972,earn,v.,A2
973,earth,n.,B1
974,ease,n.; v.,B2
975,easily,adv.,A2
976,east,n.; adj.; adv.,A2
977,eastern,adj.,B1
978,easy,adj.,A1
979,eat,v.,A1
980,economic,adj.,B2
981,economy,n.,B2
982,edge,n.,B1
983,edition,n.,B2
984,editor,n.,B2
985,educate,v.,B2
986,educated,adj.,B2
987,education,n.,B1
988,effect,n.,B1
989,effective,adj.,B2
990,effectively,adv.,B2
991,efficient,adj.,B1
992,efficiently,adv.,B2
993,effort,n.,B1
994,egg,n.,A1
995,either,det.; pron.; adv.,B1
996,elbow,n.,B1
997,elderly,adj.,B1
998,elect,v.,B2
999,election,n.,B1
1000,electric,adj.,A2
1001,electrical,adj.,B1
1002,electricity,n.,A2
1003,electronic,adj.,B1
1004,elegant,adj.,B2
1005,element,n.,B2
1006,elevator,n.,A2
1007,else,adv.,A2
1008,elsewhere,adv.,B2
1009,email,n.; v.,A1
1010,embarrass,v.,C2
1011,embarrassed,adj.,B1
1012,embarrassing,adj.,B1
1013,embarrassment,n.,B2
1014,emerge,v.,B2
1015,emergency,n.,B1
1016,emotion,n.,B2
1017,emotional,adj.,B2
1018,emotionally,adv.,B2
1019,emphasis,n.,B2
1020,emphasize,v.,B2
1021,empire,n.,C1
1022,employ,v.,B1
1023,employee,n.,B1
1024,employer,n.,B1
1025,employment,n.,B1
1026,empty,adj.; v.,A2
1027,enable,v.,B2
1028,encounter,v.; n.,B2
1029,encourage,v.,B1
1030,encouragement,n.,B2
1031,end,n.; v.,A1
1032,ending,n.,B1
1033,enemy,n.,B1
1034,energy,n.,B1
1035,engage,v.,C1
1036,engaged,adj.,B1
1037,engine,n.,A2
1038,engineer,n.,A2
1039,engineering,n.,B1
1040,enjoy,v.,A1
1041,enjoyable,adj.,B1
1042,enjoyment,n.,B2
1043,enormous,adj.,B1
1044,enough,det.; pron.; adv.,A2
1045,enquiry,n.,B1
1046,ensure,v.,B2
1047,enter,v.,A2
1048,entertain,v.,B1
1049,entertainer,n.,B2
1050,entertaining,adj.,B2
1051,entertainment,n.,B1
1052,enthusiasm,n.,B2
1053,enthusiastic,adj.,B2
1054,entire,adj.,B2
1055,entirely,adv.,B2
1056,entitle,v.,B2
1057,entrance,n.,A2
1058,entry,n.,B1
1059,envelope,n.,A2
1060,environment,n.,B1
1061,environmental,adj.,B1
1062,equal,adj.; n.; v.,B1
1063,equally,adv.,B2
1064,equipment,n.,B1
1065,equivalent,adj.; n.,C1
1066,error,n.,B2
1067,escape,v.; n.,B1
1068,especially,adv.,A2
1069,essay,n.,B1
1070,essential,adj.; n.,B1
1071,essentially,adv.,B2
1072,establish,v.,B2
1073,estate,n.,B2
1074,estimate,n.; v.,B2
1075,etc.,,B2
1076,euro,n.,A2
1077,even,adv.; adj.,A2
1078,evening,n.,A1
1079,event,n.,B1
1080,eventually,adv.,B2
1081,ever,adv.,A2
1082,every,det.,A1
1083,everyone,pron.,A2
1084,everything,pron.,A2
1085,everywhere,adv.,A2
1086,evidence,n.,B2
1087,evil,adj.; n.,B2
1088,ex-,prefix,B2
1089,exact,adj.,B1
1090,exactly,adv.,A2
1091,exaggerate,v.,C1
1092,exaggerated,adj.,C1
1093,exam,n.,A2
1094,examination,n.,A2
1095,examine,v.,B2
1096,example,n.,A1
1097,excellent,adj.,A2
1098,except,prep.; conj.,A2
1099,exception,n.,B2
1100,exchange,v.; n.,B1
1101,excite,v.,B2
1102,excited,adj.,A1
1103,excitement,n.,B1
1104,exciting,adj.,A1
1105,exclude,v.,C1
1106,excluding,prep.,C1
1107,excuse,n.; v.,B1
1108,executive,n.; adj.,C1
1109,exercise,n.; v.,A2
1110,exhibit,v.; n.,C1
