id,word,pos,cefr,priority
213,aside from,,B2,3
214,ask,v.,A1,2
215,asleep,adj.,B1,2
216,aspect,n.,B2,3
217,assist,v.,B2,2
218,assistance,n.,B2,3
219,assistant,n.; adj.,B1,2
220,associate,v.,C1,2
221,associated with,,B2,3
222,association,n.,B2,3
223,assume,v.,B2,2
224,assure,v.,B2,2
225,at,prep.,A1,1
226,at first,,B1,3
227,at least,,B1,3
228,atmosphere,n.,B1,3
229,atom,n.,B2,3
230,attach,v.,B1,2
231,attached,adj.,B2,2
232,attack,n.; v.,B1,2
233,attempt,n.; v.,B1,2
234,attempted,adj.,B1,2
235,attend,v.,B1,2
236,attention,n.,B1,3
237,attitude,n.,B1,3
238,attorney,n.,C1,3
239,attract,v.,B1,2
240,attraction,n.,B1,3
241,attractive,adj.,A2,2
242,audience,n.,B1,3
243,August,n.; abbr. Aug.,A1,1
244,aunt,n.,A2,3
245,author,n.,B1,3
246,authority,n.,B2,3
247,automatic,adj.,B2,2
248,automatically,adv.,B2,1
249,autumn,n.,A2,3
250,available,adj.,A2,2
251,average,adj.; n.,B1,2
252,avoid,v.,B1,2
253,awake,adj.,B1,2
254,award,n.; v.,B2,2
255,aware,adj.,B2,2
256,away,adv.,A2,1
257,awful,adj.,B1,2
258,awfully,adv.,B2,1
259,awkward,adj.,B2,2
260,awkwardly,adv.,B2,1
261,baby,n.,A1,3
262,back,n.; adj.; adv.; v.,A1,1
263,background,n.,B1,3
264,backward,adj.,C2,2
265,backwards,adv.,B1,1
266,bacteria,n.,C1,3
267,bad,adj.,A1,2
268,badly,adv.,A2,1
269,bad-tempered,adj.,B2,2
270,bag,n.,A1,3
271,baggage,n.,B1,3
272,bake,v.,A2,2
273,balance,n.; v.,B2,2
274,ball,n.,A1,3
275,ban,v.; n.,B2,2
276,band,n.,A1,3
277,bandage,n.; v.,B1,2
278,bank,n.,A1,3
279,bar,n.,A1,3
280,bargain,n.,B2,3
281,barrier,n.,B2,3
282,base,n.; v.,B2,2
283,based on,,B1,3
284,basic,adj.,B1,2
285,basically,adv.,B2,1
286,basis,n.,B2,3
287,bath,n.,A1,3
288,bathroom,n.,A1,3
289,battery,n.,A2,3
290,battle,n.,B1,3
291,bay,n.,B1,3
292,"be, auxiliary",v.; v.,A1,2
293,be called,,A1,3
294,be going to,,A2,3
295,be sick,,B1,3
296,beach,n.,A1,3
297,beak,n.,C1,3
298,bear,v.,B2,2
299,beard,n.,A1,3
300,beat,n.; v.,B1,2
301,beautiful,adj.,A1,2
302,beautifully,adv.,B1,1
303,beauty,n.,B1,3
304,because,conj.,A1,1
305,because of,prep.,B1,1
306,become,v.,A2,2
307,bed,n.,A1,3
308,bedroom,n.,A1,3
309,beef,n.,B1,3
310,beer,n.,A1,3
311,before,prep.; conj.; adv.,A1,1
312,begin,v.,A1,2
313,beginning,n.,A2,3
314,"behalf: on behalf of sb, on sb’s behalf",n.,B2,3
315,behave,v.,B1,2
316,behaviour,n.,B1,3
317,behind,prep.; adv.,A1,1
318,belief,n.,B2,3
319,believe,v.,A2,2
320,bell,n.,B1,3
321,belong,v.,B2,2
322,below,prep.; adv.,A1,1
323,belt,n.,A2,3
324,bend,v.; n.,B2,2
325,beneath,prep.; adv.,B2,1
326,benefit,n.; v.,B1,2
327,bent,adj.,B2,2
328,beside,prep.,A2,1
329,bet,v.; n.,C1,2
330,"better, best, good, well",,A1,3
331,betting,n.,C2,3
332,between,prep.; adv.,A1,1
333,beyond,prep.; adv.,B2,1
334,bicycle,n.,A2,3
335,bid,v.; n.,C1,2
336,big,adj.,A1,2
337,bill,n.,A2,3
338,bin,n.,B1,3
339,biology,n.,A2,3
340,bird,n.,A1,3
341,birth,n.,B1,3
342,birthday,n.,A1,3
343,biscuit,n.,A1,3
344,bit,n.,A2,3
345,bite,v.; n.,B1,2
346,bitter,adj.,B1,2
347,bitterly,adv.,B1,1
348,black,adj.; n.,A1,2
349,blade,n.,B2,3
350,blame,v.; n.,B1,2
351,blank,adj.; n.,B1,2
352,blankly,adv.,B1,1
353,blind,adj.,B1,2
354,block,n.; v.,B1,2
355,"blonde,, blond",adj.; n.; adj.,A2,2
356,blood,n.,A2,3
357,blow,v.; n.,B1,2
358,blue,adj.; n.,A1,2
359,board,n.; v.,A1,2
360,boat,n.,A1,3
361,body,n.,A1,3
362,boil,v.,A2,2
363,bomb,n.; v.,B1,2
364,bone,n.,B1,3
365,book,n.; v.,A1,2
366,boot,n.,A2,3
367,border,n.,B1,3
368,bore,v.,B2,2
369,bored,adj.,A1,2
370,boring,adj.,A1,2
371,born: be born,v.,A2,2
372,borrow,v.,A2,2
373,boss,n.,A2,3
374,both,det.; pron.,A1,1
375,bother,v.,A2,2
376,bottle,n.,A2,3
377,bottom,n.; adj.,A1,2
378,bound: bound to,adj.,B2,2
379,bowl,n.,A2,3
380,box,n.,A1,3
381,boy,n.,A1,3
382,boyfriend,n.,A2,3
383,brain,n.,A2,3
384,branch,n.,B1,3
385,brand,n.,B2,3
386,brave,adj.,B1,2
387,bread,n.,A1,3
388,break,v.; n.,A2,2
389,breakfast,n.,A1,3
390,breast,n.,B1,3
391,breath,n.,B1,3
392,breathe,v.,B1,2
393,breathing,n.,B1,3
394,breed,v.; n.,B2,2
395,brick,n.,B2,3
396,bridge,n.,A2,3
397,brief,adj.,B1,2
398,briefly,adv.,B1,1
399,bright,adj.,A2,2
400,brightly,adv.,B2,1
401,brilliant,adj.,A2,2
402,bring,v.,A2,2
403,broad,adj.,B1,2
404,broadcast,v.; n.,B2,2
405,broadly,adv.,C1,1
406,broken,adj.,A2,2
407,"broken, break",,A2,3
408,brother,n.,A1,3
409,brown,adj.; n.,A1,2
410,brush,n.; v.,A2,2
411,bubble,n.,C1,3
412,budget,n.,B2,3
413,build,v.,A2,2
414,building,n.,A2,3
415,bullet,n.,B2,3
416,bunch,n.,B1,3
417,burn,v.,B1,2
418,burnt,adj.,B2,2
419,burst,v.,B2,2
420,bury,v.,B1,2
421,bus,n.,A1,3
422,bush,n.,B2,3
423,business,n.,A1,3
424,"businessman, businesswoman",n.,A2,3
425,busy,adj.,A2,2
426,but,conj.,A1,1
427,butter,n.,A1,3
428,button,n.,B1,3
429,buy,v.,A1,2
430,buyer,n.,B1,3
431,by,prep.; adv.,A2,1
432,by accident,,B1,3
433,by means of,,C1,3
434,bye,exclamation,A1,3
435,c,abbr. cent,A2,1
436,cabinet,n.,B2,3
437,cable,n.,B1,3
438,cake,n.,A1,3
439,calculate,v.,B2,2
440,calculation,n.,B2,3
441,call,v.; n.,A2,2
442,calm,adj.; v.; n.,B1,2
443,calmly,adv.,B2,1
444,camera,n.,A1,3
445,camp,n.; v.,B1,2
446,campaign,n.,C1,3
447,camping,n.,A2,3
448,can,modal; v.; n.,A1,1
449,cancel,v.,B1,2
450,cancer,n.,B1,3
451,candidate,n.,B1,3
452,candy,n.,A2,3
453,cannot,,A1,3
454,cap,n.,A2,3
455,capable,adj.,B2,2
456,capacity,n.,B2,3
457,capital,n.; adj.,A2,2
458,captain,n.,B1,3
459,capture,v.; n.,B2,2
460,car,n.,A1,3
461,card,n.,A2,3
462,cardboard,n.,B2,3
463,care,n.; v.,B1,2
464,care for,,B2,3
465,career,n.,B1,3
466,careful,adj.,A2,2
467,carefully,adv.,A2,1
468,careless,adj.,B1,2
469,carelessly,adv.,B2,1
470,carpet,n.,A2,3
471,carrot,n.,A2,3
472,carry,v.,A1,2
473,case,n.,A2,3
474,cash,n.,A2,3
475,cast,v.; n.,B2,2
476,castle,n.,A2,3
477,cat,n.,A1,3
478,catch,v.,A1,2
479,category,n.,B2,3
480,cause,n.; v.,B2,2
481,CD,n.,A1,3
482,cease,v.,B2,2
483,ceiling,n.,A2,3
484,celebrate,v.,B1,2
485,celebration,n.,B1,3
486,cell,n.,B2,3
487,cellphone,n.,A1,3
488,cent,"n.; abbr. c, ct",A2,1
489,centimetre,n.; abbr. cm,A2,1
490,central,adj.,B1,2
491,centre,n.,A2,3
492,century,n.,A2,3
493,ceremony,n.,B1,3
494,certain,adj.; pron.,B1,1
495,certainly,adv.,A2,1
496,certificate,n.,B1,3
497,chain,n.; v.,A2,2
498,chair,n.,A1,3
499,"chairman, chairwoman",n.,B2,3
500,challenge,n.; v.,B1,2
501,chamber,n.,B2,3
502,chance,n.,B1,3
503,change,v.; n.,A1,2
504,channel,n.,A2,3
505,chapter,n.,B1,3
506,character,n.,B1,3
507,characteristic,adj.; n.,B2,2
508,charge,n.; v.,B1,2
509,charity,n.,B1,3
510,chart,n.; v.,B2,2
511,chase,v.; n.,B2,2
512,chat,v.; n.,A2,2
513,cheap,adj.,A1,2
514,cheaply,adv.,A2,1
515,cheat,v.; n.,B2,2
516,check,v.; n.,A2,2
517,cheek,n.,B1,3
518,cheerful,adj.,B1,2
519,cheerfully,adv.,B2,1
520,cheese,n.,A1,3
521,chemical,adj.; n.,B2,2
522,chemist,n.,A2,3
523,chemist’s,n.,A2,3
524,chemistry,n.,A2,3
525,cheque,n.,A2,3
526,chest,n.,B2,3
527,chew,v.,B2,2
528,chicken,n.,A2,3
529,chief,adj.; n.,B2,2
530,child,n.,A1,3
531,chin,n.,B1,3
532,chip,n.,A1,3
533,chocolate,n.,A1,3
534,choice,n.,B1,3
535,choose,v.,A1,2
536,chop,v.,B2,2
537,church,n.,A2,3
538,cigarette,n.,A2,3
539,cinema,n.,A1,3
540,circle,n.; v.,A2,2
541,circumstance,n.,B2,3
542,citizen,n.,B2,3
543,city,n.,A1,3
544,civil,adj.,C1,2
545,claim,v.; n.,B2,2
546,clap,v.; n.,B1,2
547,class,n.,A1,3
548,classic,adj.; n.,B2,2
549,classroom,n.,A1,3
550,clean,adj.; v.,A1,2
551,clear,adj.; v.,A2,2
552,clearly,adv.,A2,1
553,clerk,n.,B1,3
554,clever,adj.,A1,2
555,click,v.; n.,A2,2
556,client,n.,B2,3
557,climate,n.,B1,3
558,climb,v.,A2,2
559,climbing,n.,A2,3
560,clock,n.,A1,3
561,close,adj.,A1,2
562,close,v.,A1,2
563,closed,adj.,A1,2
564,closely,adv.,B2,1
565,closet,n.,A2,3
566,cloth,n.,B2,3
567,clothes,n.,A1,3
568,clothing,n.,B2,3
569,cloud,n.,A2,3
570,club,n.,A2,3
571,cm,abbr. centimeter,A2,1
572,coach,n.,A2,3
573,coal,n.,C1,3
574,coast,n.,B1,3
575,coat,n.,A1,3
576,code,n.,B2,3
577,coffee,n.,A1,3
578,coin,n.,B1,3
579,cold,adj.; n.,A1,2
580,coldly,adv.,A2,1
581,collapse,v.; n.,B2,2
582,colleague,n.,A2,3
583,collect,v.,A2,2
584,collection,n.,B1,3
585,college,n.,A2,3
586,colour,n.; v.,A1,2
587,coloured,adj.,A2,2
588,column,n.,B2,3
589,combination,n.,B2,3
590,combine,v.,B2,2
591,come,v.,A1,2
592,comedy,n.,B1,3
593,comfort,n.; v.,B2,2
594,comfortable,adj.,A2,2
595,comfortably,adv.,B2,1
596,command,v.; n.,B2,2
597,comment,n.; v.,B1,2
598,commercial,adj.; n.,B2,2
599,commission,n.; v.,B2,2
600,commit,v.,B2,2
601,commitment,n.,B2,3
602,committee,n.,B2,3
603,common,adj.,B1,2
604,commonly,adv.,C1,1
605,communicate,v.,B1,2
606,communication,n.,B1,3
607,community,n.,B2,3
608,company,n.,A2,3
609,compare,v.,B1,2
610,comparison,n.,B2,3
611,compete,v.,B1,2
612,competition,n.,A2,3
613,competitive,adj.,B2,2
614,complain,v.,B1,2
615,complaint,n.,B1,3
616,complete,adj.; v.,A2,2
617,completely,adv.,B1,1
618,complex,adj.,B2,2
619,complicate,v.,C1,2
620,complicated,adj.,B1,2
621,computer,n.,A1,3
622,concentrate,v.,B1,2
623,concentration,n.,B2,3
624,concept,n.,B2,3
625,concern,v.; n.,B2,2
626,concerned,adj.,B2,2
627,concerning,prep.,B2,1
628,concert,n.,A2,3
629,conclude,v.,C1,2
630,conclusion,n.,B1,3
631,concrete,adj.; n.,B2,2
632,condition,n.,B1,3
633,conduct,v.; n.,B2,2
634,conference,n.,B1,3
635,confidence,n.,B2,3
636,confident,adj.,B1,2
637,confidently,adv.,B2,1
638,confine,v.,C2,2
639,confined,adj.,C2,2
640,confirm,v.,B1,2
641,conflict,n.; v.,B2,2
642,confront,v.,C2,2
643,confuse,v.,B2,2
644,confused,adj.,B1,2
645,confusing,adj.,B1,2
646,confusion,n.,B2,3
647,congratulations,n.,A2,3
648,congress,n.,B2,3
649,connect,v.,B1,2
650,connection,n.,B1,3
651,conscious,adj.,B2,2
652,consequence,n.,B2,3
653,conservative,adj.,C1,2
654,consider,v.,B1,2
655,considerable,adj.,B1,2
656,considerably,adv.,B2,1
657,consideration,n.,B2,3
658,consist of,v.,B1,2
659,constant,adj.,B2,2
660,constantly,adv.,B2,1
661,construct,v.,B2,2
662,construction,n.,B2,3
663,consult,v.,C1,2
664,consumer,n.,B2,3
665,contact,n.; v.,A2,2
666,contain,v.,B1,2
667,container,n.,B2,3
668,contemporary,adj.,B2,2
669,content,n.,B2,3
670,contest,n.,B1,3
671,context,n.,B2,3
672,continent,n.,B1,3
673,continue,v.,B1,2
674,continuous,adj.,B2,2
675,continuously,adv.,B2,1
676,contract,n.; v.,B1,2
677,contrast,n.; v.,B2,2
678,contrasting,adj.,B2,2
679,contribute,v.,B2,2
680,contribution,n.,B2,3
681,control,n.; v.,B1,2
682,controlled,adj.,B2,2
683,convenient,adj.,B1,2
684,convention,n.,C1,3
685,conventional,adj.,B2,2
686,conversation,n.,A1,3
687,convert,v.,B2,2
688,convince,v.,B1,2
689,cook,v.; n.,A1,2
690,cooker,n.,A2,3
691,cookie,n.,C2,3
692,cooking,n.,A2,3
693,cool,adj.; v.,A2,2
694,cope,v.,B2,2
695,copy,n.; v.,A2,2
696,core,n.,C2,3
697,corner,n.,A2,3
698,correct,adj.; v.,A2,2
699,correctly,adv.,B1,1
700,cost,n.; v.,A2,2
701,cottage,n.,B1,3
702,cotton,n.,B1,3
703,cough,v.; n.,B1,2
704,coughing,n.,B1,3
705,could,modal; v.,A2,1
706,council,n.,B2,3
707,count,v.,B1,2
708,counter,n.,B2,3
709,country,n.,A1,3
710,countryside,n.,A2,3
711,county,n.,B2,3
712,couple,n.,B1,3
713,courage,n.,B2,3
714,course,n.,A1,3
715,court,n.,B1,3
716,cousin,n.,A2,3
717,cover,v.; n.,A2,2
718,covered,adj.,A2,2
719,covering,n.,A2,3
720,cow,n.,A1,3
721,crack,n.; v.,B2,2
722,cracked,adj.,B2,2
723,craft,n.,B2,3
724,crash,n.; v.,B1,2
725,crazy,adj.,A2,2
726,cream,n.; adj.,A2,2
727,create,v.,B1,2
728,creature,n.,B1,3
729,credit,n.; v.,B1,2
730,credit card,n.,A1,3
731,crime,n.,B1,3
732,criminal,adj.; n.,B1,2
733,crisis,n.,B2,3
734,crisp,adj.,C2,2
735,criterion,n.,C1,3
736,critical,adj.,B2,2
737,criticism,n.,B2,3
738,criticize,v.,B2,2
739,crop,n.,B1,3
740,cross,n.; v.,A2,2
741,crowd,n.,A2,3
742,crowded,adj.,A2,2
743,crown,n.,B1,3
744,crucial,adj.,B2,2
745,cruel,adj.,B1,2
746,crush,v.,C2,2
747,cry,v.; n.,A2,2
748,ct,abbr. cent,A2,1
749,cultural,adj.,B1,2
750,culture,n.,B1,3
751,cup,n.,A1,3
752,cupboard,n.,A2,3
753,curb,v.,C2,2
754,cure,v.; n.,B2,2
755,curious,adj.,B1,2
756,curiously,adv.,B1,1
757,curl,v.; n.,B1,2
758,curly,adj.,B1,2
759,current,adj.; n.,B2,2
760,currently,adv.,B2,1
761,curtain,n.,A2,3
762,curve,n.; v.,B2,2
763,curved,adj.,B2,2
764,custom,n.,B1,3
765,customer,n.,A2,3
766,customs,n.,B1,3
767,cut,v.; n.,A2,2
768,cycle,n.; v.,B1,2
769,cycling,n.,A2,3
770,dad,n.,A1,3
771,daily,adj.,A2,2
772,damage,n.; v.,B1,2
773,damp,adj.,B2,2
774,dance,n.; v.,A1,2
775,dancer,n.,A2,3
776,dancing,n.,A1,3
777,danger,n.,A2,3
778,dangerous,adj.,A2,2
779,dare,v.,B2,2
780,dark,adj.; n.,A1,2
781,data,n.,B2,3
782,date,n.; v.,A1,2
783,daughter,n.,A1,3
784,day,n.,A1,3
785,dead,adj.,A2,2
786,deaf,adj.,B1,2
787,deal,v.; n.,B2,2
788,deal with,,B1,3
789,dear,adj.,A1,2
790,death,n.,B1,3
791,debate,n.; v.,B2,2
792,debt,n.,B2,3
793,decade,n.,B2,3
794,decay,n.; v.,B2,2
795,December,n.; abbr. Dec.,A1,1
796,decide,v.,A2,2
797,decision,n.,B1,3
798,declare,v.,B1,2
799,decline,n.; v.,B2,2
800,decorate,v.,B1,2
801,decoration,n.,B2,3
802,decorative,adj.,B2,2
803,decrease,v.; n.,B1,2
804,deep,adj.; adv.,A2,1
805,deeply,adv.,B2,1
806,defeat,v.; n.,B1,2
807,defence,n.,B1,3
808,defend,v.,B1,2
809,define,v.,B2,2
810,definite,adj.,B2,2
811,definitely,adv.,B1,1
812,definition,n.,B2,3
813,degree,n.,A2,3
814,delay,n.; v.,A2,2
815,deliberate,adj.,B2,2
816,deliberately,adv.,B2,1
817,delicate,adj.,B2,2
818,delight,n.; v.,B2,2
819,delighted,adj.,B1,2
820,deliver,v.,B1,2
821,delivery,n.,B1,3
822,demand,n.; v.,B1,2
823,demonstrate,v.,B2,2
824,dentist,n.,A2,3
825,deny,v.,B2,2
826,department,n.,A2,3
827,departure,n.,B1,3
828,depend,v.,B1,2
829,deposit,n.; v.,B1,2
830,depress,v.,B2,2
831,depressed,adj.,B1,2
832,depressing,adj.,B2,2
833,depth,n.,B1,3
834,derive,v.,C1,2
835,describe,v.,A2,2
836,description,n.,B1,3
837,desert,n.; v.,A2,2
838,deserted,adj.,C1,2
839,deserve,v.,B1,2
840,design,n.; v.,B1,2
841,desire,n.; v.,B2,2
842,desk,n.,A1,3
843,desperate,adj.,B2,2
844,desperately,adv.,B2,1
845,despite,prep.,B1,1
846,destroy,v.,B1,2
847,destruction,n.,B2,3
848,detail,n.,A2,3
849,detailed,adj.,B2,2
850,determination,n.,B2,3
851,determine,v.,C1,2
852,determined,adj.,B2,2
853,develop,v.,B1,2
854,development,n.,B1,3
855,device,n.,B2,3
856,devote,v.,B2,2
857,devoted,adj.,B2,2
858,diagram,n.,B1,3
859,diamond,n.,B2,3
860,diary,n.,A2,3
861,dictionary,n.,A1,3
862,die,v.,A1,2
863,diet,n.,B1,3
864,difference,n.,A2,3
865,different,adj.,A1,2
866,differently,adv.,B1,1
867,difficult,adj.,A1,2
868,difficulty,n.,B1,3
869,dig,v.,B1,2
870,dinner,n.,A1,3
871,direct,adj.; v.,B1,2
872,direction,n.,B1,3
873,directly,adv.,B1,1
874,director,n.,B1,3
875,dirt,n.,B1,3
876,dirty,adj.,A2,2
877,disabled,adj.,B1,2
878,disadvantage,n.,B1,3
879,disagree,v.,B1,2
880,disagreement,n.,B2,3
881,disappear,v.,B1,2
882,disappoint,v.,B1,2
883,disappointed,adj.,B1,2
884,disappointing,adj.,B1,2
885,disappointment,n.,B1,3
886,disapproval,n.,C1,3
887,disapprove,v.,B2,2
888,disapproving,adj.,B2,2
889,disaster,n.,B2,3
890,disc,n.,B1,3
891,discipline,n.,B2,3
892,discount,n.,A2,3
893,discover,v.,B1,2
894,discovery,n.,B2,3
895,discuss,v.,A2,2
896,discussion,n.,B1,3
897,disease,n.,B1,3
898,disgust,v.; n.,C2,2
899,disgusted,adj.,C1,2
900,disgusting,adj.,B1,2
901,dish,n.,A2,3
902,dishonest,adj.,B2,2
903,dishonestly,adv.,C1,1
904,disk,n.,B1,3
905,dislike,v.; n.,B1,2
906,dismiss,v.,C1,2
907,display,v.; n.,B1,2
908,dissolve,v.,C1,2
909,distance,n.,B1,3
910,distinguish,v.,B2,2
911,distribute,v.,B2,2
912,distribution,n.,C1,3
913,district,n.,B1,3
914,disturb,v.,B2,2
915,disturbing,adj.,C2,2
916,divide,v.,B1,2
917,division,n.,B2,3
918,divorce,n.; v.,B1,2
919,divorced,adj.,B1,2
920,"do, auxiliary",v.; v.,A1,2
921,doctor,"n.; abbr. Dr, NAmE Dr.",A1,1
922,document,n.,A2,3
923,dog,n.,A1,3
924,dollar,n.,A1,3
925,domestic,adj.,B2,2
926,dominate,v.,B2,2
927,door,n.,A1,3
928,dot,n.,B1,3
929,double,adj.; det.; adv.; n.; v.,A2,1
930,doubt,n.; v.,B1,2
931,down,adv.; prep.,A1,1
932,downstairs,adv.; adj.; n.,A2,1
933,downward,adj.,C1,2
934,downwards,adv.,C1,1
935,dozen,n.; det.,B1,1
936,Dr,abbr. doctor,A2,1
937,draft,n.; adj.; v.,B2,2
938,drag,v.,B1,2
939,drama,n.,B1,3
940,dramatic,adj.,B2,2
941,dramatically,adv.,B2,1
942,draw,v.,A1,2
943,drawer,n.,A2,3
944,drawing,n.,A2,3
945,dream,n.; v.,A2,2
946,dress,n.; v.,A1,2
947,dressed,adj.,A2,2
948,drink,n.; v.,A1,2
949,drive,v.; n.,A1,2
950,driver,n.,A1,3
951,driving,n.,A1,3
952,drop,v.; n.,B1,2
953,drug,n.,B2,3
954,drugstore,n.,B1,3
955,drum,n.,A2,3
956,drunk,adj.,B2,2
957,dry,adj.; v.,A2,2
958,due,adj.,B1,2
959,due to,,B1,3
960,dull,adj.,B1,2
961,dump,v.; n.,C1,2
962,during,prep.,A2,1
963,dust,n.; v.,B1,2
964,duty,n.,B1,3
965,DVD,n.,A1,3
